_id,METER_CODE,FOLIO_NUMBER,GROSS_UNACCOUNTED
663d31c3d9a15983eb2c37ed,MTR_302,01/07/2022,0
663d31c3d9a15983eb2c37ee,MTR_302,01/08/2022,-1
663d31c3d9a15983eb2c37ef,MTR_302,01/10/2022,0
663d31c3d9a15983eb2c37f0,MTR_302,01/11/2022,-1
663d31c3d9a15983eb2c37f1,MTR_302,01/12/2022,0
663d31c3d9a15983eb2c37f2,MTR_302,01/13/2022,0
663d31c3d9a15983eb2c37f3,MTR_302,01/14/2022,-1
663d31c3d9a15983eb2c37f4,MTR_302,01/15/2022,-1
663d31c3d9a15983eb2c37f5,MTR_302,01/17/2022,0
663d31c3d9a15983eb2c37f6,MTR_302,01/18/2022,0
663d31c3d9a15983eb2c37f7,MTR_302,01/19/2022,1
663d31c3d9a15983eb2c37f8,MTR_302,01/20/2022,1
663d31c3d9a15983eb2c37f9,MTR_302,01/21/2022,0
