_id,INJECTOR_CODE,FOLIO_NUMBER,FRAC_UNACCOUNTED
6638d02b36388c250bde0658,INJ_208,04/08/2023,399
6638d02b36388c250bde0659,INJ_208,04/14/2023,200
6638d02b36388c250bde065a,INJ_208,04/15/2023,302
6638d02b36388c250bde065b,INJ_208,04/19/2023,200
6638d02b36388c250bde065c,INJ_208,04/20/2023,197
6638d02b36388c250bde065d,INJ_208,04/21/2023,499
6638d02b36388c250bde065e,INJ_208,04/24/2023,599
6638d02b36388c250bde065f,INJ_208,04/25/2023,103
6638d02b36388c250bde0660,INJ_208,04/27/2023,0
6638d02b36388c250bde0661,INJ_208,04/29/2023,502
6638d02b36388c250bde0662,INJ_208,05/02/2023,301
6638d02b36388c250bde0663,INJ_208,05/03/2023,406
6638d02b36388c250bde0664,INJ_208,05/04/2023,854
6638d02b36388c250bde0665,INJ_208,05/05/2023,398
6638d02b36388c250bde0666,INJ_208,05/15/2023,651
6638d02b36388c250bde0667,INJ_208,05/16/2023,503
6638d02b36388c250bde0668,INJ_208,05/17/2023,598
6638d02b36388c250bde0669,INJ_208,05/18/2023,797
6638d02b36388c250bde066a,INJ_208,05/22/2023,734
6638d02b36388c250bde066b,INJ_208,05/26/2023,97
6638d02b36388c250bde066c,INJ_208,05/29/2023,200
6638d02b36388c250bde066d,INJ_208,05/30/2023,197
6638d02b36388c250bde066e,INJ_208,05/31/2023,108
6638d02b36388c250bde066f,INJ_208,06/01/2023,999
6638d02b36388c250bde0670,INJ_208,06/02/2023,602
6638d02b36388c250bde0671,INJ_208,06/07/2023,402
6638d02b36388c250bde0672,INJ_208,06/12/2023,299
6638d02b36388c250bde0673,INJ_208,06/15/2023,500
6638d02b36388c250bde0674,INJ_208,06/16/2023,698
6638d02b36388c250bde0675,INJ_208,06/22/2023,401
6638d02b36388c250bde0676,INJ_208,06/23/2023,398
6638d02b36388c250bde0677,INJ_208,06/24/2023,798
6638d02b36388c250bde0678,INJ_208,07/04/2023,99
6638d02b36388c250bde0679,INJ_208,07/05/2023,500
6638d02b36388c250bde067a,INJ_208,07/06/2023,496
6638d02b36388c250bde067b,INJ_208,07/13/2023,192
6638d02b36388c250bde067c,INJ_208,07/14/2023,913
6638d02b36388c250bde067d,INJ_208,07/18/2023,204
6638d02b36388c250bde067e,INJ_209,09/29/2021,0
6638d02b36388c250bde067f,INJ_209,09/30/2021,1
6638d02b36388c250bde0680,INJ_209,10/01/2021,0
6638d02b36388c250bde0681,INJ_209,10/07/2021,-1
6638d02b36388c250bde0682,INJ_209,10/08/2021,0
6638d02b36388c250bde0683,INJ_209,10/12/2021,2
6638d02b36388c250bde0684,INJ_209,10/15/2021,-1
6638d02b36388c250bde0685,INJ_209,10/18/2021,29
6638d02b36388c250bde0686,INJ_209,10/21/2021,13
6638d02b36388c250bde0687,INJ_209,10/22/2021,0
6638d02b36388c250bde0688,INJ_209,10/29/2021,11
6638d02b36388c250bde0689,INJ_209,11/02/2021,1
6638d02b36388c250bde068a,INJ_209,11/05/2021,0
6638d02b36388c250bde068b,INJ_209,11/09/2021,1
6638d02b36388c250bde068c,INJ_209,11/11/2021,23
6638d02b36388c250bde068d,INJ_209,11/13/2021,0
6638d02b36388c250bde068e,INJ_209,11/15/2021,0
6638d02b36388c250bde068f,INJ_209,11/17/2021,0
6638d02b36388c250bde0690,INJ_209,11/18/2021,0
6638d02b36388c250bde0691,INJ_209,11/19/2021,2
6638d02b36388c250bde0692,INJ_209,11/22/2021,8
6638d02b36388c250bde0693,INJ_209,11/23/2021,0
6638d02b36388c250bde0694,INJ_209,11/24/2021,0
6638d02b36388c250bde0695,INJ_209,12/04/2021,-1
6638d02b36388c250bde0696,INJ_209,12/07/2021,0
6638d02b36388c250bde0697,INJ_209,12/08/2021,2
6638d02b36388c250bde0698,INJ_209,12/10/2021,0
6638d02b36388c250bde0699,INJ_209,12/11/2021,0
6638d02b36388c250bde069a,INJ_209,12/13/2021,1
6638d02b36388c250bde069b,INJ_209,12/14/2021,-1
6638d02b36388c250bde069c,INJ_209,12/18/2021,0
6638d02b36388c250bde069d,INJ_209,12/21/2021,2
6638d02b36388c250bde069e,INJ_209,12/22/2021,29
6638d02b36388c250bde069f,INJ_209,12/23/2021,1
6638d02b36388c250bde06a0,INJ_209,12/25/2021,0
6638d02b36388c250bde06a1,INJ_209,12/27/2021,0
6638d02b36388c250bde06a2,INJ_209,12/28/2021,2
6638d02b36388c250bde06a3,INJ_209,12/30/2021,0
6638d02b36388c250bde06a4,INJ_209,01/01/2022,0
6638d02b36388c250bde06a5,INJ_209,01/03/2022,0
6638d02b36388c250bde06a6,INJ_209,01/04/2022,0
6638d02b36388c250bde06a7,INJ_209,01/06/2022,0
6638d02b36388c250bde06a8,INJ_209,01/07/2022,0
6638d02b36388c250bde06a9,INJ_209,01/11/2022,1
6638d02b36388c250bde06aa,INJ_209,01/13/2022,0
6638d02b36388c250bde06ab,INJ_209,01/15/2022,0
6638d02b36388c250bde06ac,INJ_209,01/17/2022,2
6638d02b36388c250bde06ad,INJ_209,01/18/2022,27
6638d02b36388c250bde06ae,INJ_209,01/19/2022,7
6638d02b36388c250bde06af,INJ_209,01/20/2022,0
6638d02b36388c250bde06b0,INJ_209,01/21/2022,0
6638d02b36388c250bde06b1,INJ_209,01/25/2022,0
6638d02b36388c250bde06b2,INJ_209,01/26/2022,3
6638d02b36388c250bde06b3,INJ_209,01/27/2022,6
6638d02b36388c250bde06b4,INJ_209,01/28/2022,1
6638d02b36388c250bde06b5,INJ_209,01/29/2022,3
6638d02b36388c250bde06b6,INJ_209,01/31/2022,2
6638d02b36388c250bde06b7,INJ_209,02/01/2022,1
6638d02b36388c250bde06b8,INJ_209,02/02/2022,0
6638d02b36388c250bde06b9,INJ_209,02/07/2022,-1
6638d02b36388c250bde06ba,INJ_209,02/09/2022,14
6638d02b36388c250bde06bb,INJ_209,02/10/2022,1
6638d02b36388c250bde06bc,INJ_209,02/11/2022,-1
6638d02b36388c250bde06bd,INJ_209,02/12/2022,43
6638d02b36388c250bde06be,INJ_209,02/15/2022,0
6638d02b36388c250bde06bf,INJ_209,02/16/2022,0
6638d02b36388c250bde06c0,INJ_209,02/17/2022,1
6638d02b36388c250bde06c1,INJ_209,02/18/2022,0
6638d02b36388c250bde06c2,INJ_209,02/19/2022,9
6638d02b36388c250bde06c3,INJ_209,02/21/2022,1
6638d02b36388c250bde06c4,INJ_209,02/24/2022,2
6638d02b36388c250bde06c5,INJ_209,02/26/2022,0
6638d02b36388c250bde06c6,INJ_209,02/28/2022,0
6638d02b36388c250bde06c7,INJ_209,03/01/2022,0
6638d02b36388c250bde06c8,INJ_209,03/02/2022,0
6638d02b36388c250bde06c9,INJ_209,03/05/2022,10
6638d02b36388c250bde06ca,INJ_209,03/08/2022,1
6638d02b36388c250bde06cb,INJ_209,03/11/2022,0
6638d02b36388c250bde06cc,INJ_209,03/12/2022,49
6638d02b36388c250bde06cd,INJ_209,03/14/2022,1
6638d02b36388c250bde06ce,INJ_209,03/15/2022,1
6638d02b36388c250bde06cf,INJ_209,03/16/2022,3
6638d02b36388c250bde06d0,INJ_209,03/17/2022,1
6638d02b36388c250bde06d1,INJ_209,03/18/2022,0
6638d02b36388c250bde06d2,INJ_209,03/19/2022,17
6638d02b36388c250bde06d3,INJ_209,03/21/2022,0
6638d02b36388c250bde06d4,INJ_209,03/22/2022,0
6638d02b36388c250bde06d5,INJ_209,03/24/2022,0
6638d02b36388c250bde06d6,INJ_209,03/26/2022,0
6638d02b36388c250bde06d7,INJ_209,03/28/2022,0
6638d02b36388c250bde06d8,INJ_209,03/30/2022,15
6638d02b36388c250bde06d9,INJ_209,03/31/2022,0
6638d02b36388c250bde06da,INJ_209,04/01/2022,1
6638d02b36388c250bde06db,INJ_209,04/02/2022,0
6638d02b36388c250bde06dc,INJ_209,04/07/2022,0
6638d02b36388c250bde06dd,INJ_209,04/13/2022,0
6638d02b36388c250bde06de,INJ_209,04/14/2022,1
6638d02b36388c250bde06df,INJ_209,04/18/2022,0
6638d02b36388c250bde06e0,INJ_209,04/19/2022,0
6638d02b36388c250bde06e1,INJ_209,04/21/2022,8
6638d02b36388c250bde06e2,INJ_209,04/24/2022,30
6638d02b36388c250bde06e3,INJ_209,04/25/2022,1
6638d02b36388c250bde06e4,INJ_209,04/27/2022,1
6638d02b36388c250bde06e5,INJ_209,04/29/2022,0
6638d02b36388c250bde06e6,INJ_209,05/05/2022,8
6638d02b36388c250bde06e7,INJ_209,05/09/2022,0
6638d02b36388c250bde06e8,INJ_209,05/13/2022,1
6638d02b36388c250bde06e9,INJ_209,05/14/2022,1
6638d02b36388c250bde06ea,INJ_209,05/17/2022,0
6638d02b36388c250bde06eb,INJ_209,05/18/2022,3
6638d02b36388c250bde06ec,INJ_209,05/19/2022,0
6638d02b36388c250bde06ed,INJ_209,05/20/2022,-1
6638d02b36388c250bde06ee,INJ_209,05/21/2022,2
6638d02b36388c250bde06ef,INJ_209,05/23/2022,1
6638d02b36388c250bde06f0,INJ_209,05/24/2022,-1
6638d02b36388c250bde06f1,INJ_209,05/25/2022,1
6638d02b36388c250bde06f2,INJ_209,05/26/2022,0
6638d02b36388c250bde06f3,INJ_209,05/30/2022,-1
6638d02b36388c250bde06f4,INJ_209,06/01/2022,0
6638d02b36388c250bde06f5,INJ_209,06/02/2022,1
6638d02b36388c250bde06f6,INJ_209,06/03/2022,24
6638d02b36388c250bde06f7,INJ_209,06/04/2022,0
6638d02b36388c250bde06f8,INJ_209,06/06/2022,1
6638d02b36388c250bde06f9,INJ_209,06/07/2022,44
6638d02b36388c250bde06fa,INJ_209,06/08/2022,1
6638d02b36388c250bde06fb,INJ_209,06/10/2022,-1
6638d02b36388c250bde06fc,INJ_209,06/11/2022,1
6638d02b36388c250bde06fd,INJ_209,06/13/2022,1
6638d02b36388c250bde06fe,INJ_209,06/14/2022,2
6638d02b36388c250bde06ff,INJ_209,06/15/2022,1
6638d02b36388c250bde0700,INJ_209,06/17/2022,0
6638d02b36388c250bde0701,INJ_209,06/18/2022,42
6638d02b36388c250bde0702,INJ_209,06/20/2022,27
6638d02b36388c250bde0703,INJ_209,06/21/2022,6
6638d02b36388c250bde0704,INJ_209,06/22/2022,3
