METER_CODE,FOLIO_NUMBER,ORDERED_QUANTITY,COMMITTED_NET_QUANTITY,GROSS_UNACCOUNTED,GROSS_THRUPUT,ACTUAL_GROSS_THRUPUT,serka,serka2,serka3
MTR_201,20221014,734000,679997,6,685622,685628,48378,-5625,-5631
MTR_201,20221015,553100,520084,3,528785,528788,24315,-8701,-8704
MTR_201,20221017,477100,461499,45969,467742,513711,9358,-6243,-52212
MTR_201,20221018,451000,421174,3,418892,418895,32108,2282,2279
MTR_201,20221019,398000,351331,3,355765,355768,42235,-4434,-4437
MTR_201,20221020,49000,48384,434747,48958,483705,42,-574,-435321
MTR_201,20221021,561100,554348,-2,560708,560706,392,-6360,-6358
MTR_201,20221022,358000,335506,1,356767,356768,1233,-21261,-21262
MTR_201,20221024,405100,392085,3,377782,377785,27318,14303,14300
MTR_201,20221025,414100,397112,0,400775,400775,13325,-3663,-3663
MTR_201,20221026,516000,492154,2,496639,496641,19361,-4485,-4487
MTR_201,20221027,561000,553612,2,558704,558706,2296,-5092,-5094
MTR_201,20221028,588000,573614,-1,578658,578657,9342,-5044,-5043
MTR_201,20221029,506000,496545,-4,500725,500721,5275,-4180,-4176
MTR_201,20221030,17000,16856,1,16991,16992,9,-135,-136
MTR_201,20221031,608000,581185,5,575696,575701,32304,5489,5484
MTR_201,20221101,246000,223025,2,233031,233033,12969,-10006,-10008
MTR_201,20221102,397000,375434,1,378767,378768,18233,-3333,-3334
MTR_201,20221103,344000,320070,3,322774,322777,21226,-2704,-2707
MTR_201,20221104,375100,352014,-3,359857,359854,15243,-7843,-7840
MTR_201,20221105,302000,273678,-4,275829,275825,26171,-2151,-2147
MTR_201,20221107,401000,390987,0,392786,392786,8214,-1799,-1799
MTR_201,20221108,294100,287919,0,289877,289877,4223,-1958,-1958
MTR_201,20221109,357100,339696,2,341828,341830,15272,-2132,-2134
MTR_201,20221110,275100,265292,2,266883,266885,8217,-1591,-1593
MTR_201,20221111,422000,412246,6,414734,414740,7266,-2488,-2494
MTR_201,20221112,249000,247383,0,248867,248867,133,-1484,-1484
MTR_201,20221114,339100,299146,2,300840,300842,38260,-1694,-1696
MTR_201,20221115,278100,266108,2,267845,267847,10255,-1737,-1739
MTR_201,20221116,443000,429985,0,432686,432686,10314,-2701,-2701
MTR_201,20221117,399000,370452,-1,372761,372760,26239,-2309,-2308
MTR_201,20221118,477760,459715,5,453721,453726,24039,5994,5989
MTR_201,20221119,380000,355777,-3,357805,357802,22195,-2028,-2025
MTR_201,20221121,438000,435588,3,437756,437759,244,-2168,-2171
MTR_201,20221122,414000,411711,2,413751,413753,249,-2040,-2042
MTR_201,20221123,439000,409777,2,419790,419792,19210,-10013,-10015
MTR_201,20221124,293200,261824,5,262903,262908,30297,-1079,-1084
MTR_201,20221125,484200,458678,2,460767,460769,23433,-2089,-2091
MTR_201,20221126,251100,241708,-3,242838,242835,8262,-1130,-1127
MTR_201,20221128,259200,236958,-2,237966,237964,21234,-1008,-1006
MTR_201,20221129,229100,218071,0,218921,218921,10179,-850,-850
MTR_201,20221130,269200,237176,4,244933,244937,24267,-7757,-7761
MTR_201,20221201,293000,275899,1,276845,276846,16155,-946,-947
MTR_201,20221202,510000,466351,-4,467695,467691,42305,-1344,-1340
MTR_201,20221203,379000,356914,0,357781,357781,21219,-867,-867
MTR_201,20221204,15000,14956,0,14990,14990,10,-34,-34
MTR_201,20221205,424300,421095,2,421831,421833,2469,-736,-738
MTR_201,20221206,435000,427423,1,428741,428742,6259,-1318,-1319
MTR_201,20221207,440000,400484,7,401749,401756,38251,-1265,-1272
MTR_201,20221208,350000,338736,5,339795,339800,10205,-1059,-1064
MTR_201,20221209,315000,274021,0,274853,274853,40147,-832,-832
MTR_201,20221210,264000,217231,-3,217884,217881,46116,-653,-650
